source_ids	portable_path	portable_sha256	artifact_role	migration_status	verification	note
DP-S000;DP-S100;DP-S200;DP-S201;DP-S300;DP-S305;DP-S306;DP-S307;DP-S308;DP-S400;DP-S401;DP-S403;DP-S404;DP-S405;DP-S406;DP-S407;DP-S408;DP-S409;DP-S500;DP-S501;DP-S502;DP-S503;DP-S504;DP-S600;DP-S601;DP-S602;DP-S603;DP-S604;DP-S700;DP-S701;DP-S702;DP-S703;DP-S704;DP-S710;DP-S711;DP-S712;DP-S713;DP-S714;DP-S715;DP-S716;DP-S717;DP-S718;DP-S719;DP-S721;DP-S722;DP-S723;DP-S724;DP-S725	analysis/data_preprocessing/CMakeLists.txt	6a8ab5f0eeee6caa4ca50370bd6ecb8a566e03f70c1bad44407d103f61d295f5	scoped_build	migrated	server_eighteen_test_suite_passed	CMake version 0.15 builds M1--M12; the isolated ROOT 6.28/GCC 9.4 server build passes all eighteen synthetic tests.
DP-S305	analysis/data_preprocessing/include/LinkDef.h	f15fe5d3878063f03275cfff9161c9458dfaa8da028bd98ed9d62f8b30807649	root_dictionary_declarations	migrated	server_dictionary_test_passed	Only t_2d_fit and t_gamma_cali are linked; shower-reconstruction types are deferred.
DP-S301	analysis/data_preprocessing/include/t_2d_fit.h	519f37f86305811e94077e1875bbbe7e9d709b8dc6440438db3358d9ee03e573	public_class_header	migrated	layout_and_logic_tests_passed	Historical class name inheritance stored array public interface and class version 2 are retained.
DP-S303	analysis/data_preprocessing/include/t_gamma_cali.h	79b1764a24842d6197984b918d398403e82ac123673296800503f248ead3d8b4	public_class_header	migrated	layout_logic_and_historical_object_read_passed	Historical calibration arrays gain-switch interface energy points and class version 2 are retained.
DP-S302	analysis/data_preprocessing/src/t_2d_fit.cxx	5d9e47d5bf15d7ba3921e0aff1f77812c966fb19f91efbc09d1a188711c35923	class_implementation	migrated	local_and_server_tests_passed	Copy construction now initializes TNamed explicitly but preserves the historical copied state.
DP-S304	analysis/data_preprocessing/src/t_gamma_cali.cxx	452765b03b0703a627ac048f7115db91d73f02b32b6011228727ce95c0275d8c	class_implementation	migrated	local_and_server_tests_passed	Energy conversion fit setup transition formula copy clone and print semantics are retained.
DP-S301;DP-S302;DP-S303;DP-S304	analysis/data_preprocessing/tests/test_calibration_logic.cxx	c1871b48a33d41869a95696bdc7208332327ba38c5e679b24c6dd5c58fd7f551	data_free_validation	added	local_and_server_tests_passed	Checks stored-array sizes gain conversion transition branches array adapter and copy semantics without experimental data.
DP-S301;DP-S302;DP-S303;DP-S304;DP-S305	analysis/data_preprocessing/tests/test_calibration_dictionary.cxx	796f7d1942171e9ccaa672060d8748f3e8e0cbb5b70ec3e16f8fa76a5c7d91e8	data_free_root_validation	added	server_test_passed	Checks class dictionaries version 2 in-memory ROOT streaming and polymorphic cloning.
DP-S303;DP-S304;DP-S305	analysis/data_preprocessing/tests/inspect_calibration_object.cxx	638d8947b088be74fb1db74051ad9f340e34164edfc51d195c6faca1208f52ec	historical_object_inspector	added	cali_20240308_read_passed	Read-only inspector verifies a named t_gamma_cali object and finite stored calibration values without running upstream analysis.
DP-S306	build/G__cshine_gamma_calibration.cxx	generated	generated_dictionary_source	regenerated_not_tracked	local_and_server_generation_passed	Generated in the build tree by rootcling; historical generated source with absolute paths is not copied.
DP-S306	build/libcshine_gamma_calibration_rdict.pcm	generated	root_pcm	regenerated_not_tracked	local_and_server_install_checks_passed	Installed beside the shared library and rootmap.
DP-S306	build/libcshine_gamma_calibration.rootmap	generated	rootmap	regenerated_not_tracked	local_and_server_install_checks_passed	Contains only t_2d_fit and t_gamma_cali.
DP-S000	analysis/data_preprocessing/include/source_background_spectra.h	f68444e2bd6d6596172c3a8f1b27913f312e251603b4062ca38b40585eae6255	public_analysis_header	migrated	server_synthetic_test_passed	Defines the fixed central-0308 source and background contract summaries and portable build entry.
DP-S000	analysis/data_preprocessing/src/source_background_spectra.cxx	51e185ed5e6ab859bd27aa6509366bc66bcd5b095f1ff763ebc5e3cf00b8ab3c	analysis_implementation	migrated	server_synthetic_test_with_nested_output_passed	Retains the 21 plus 24 files strict time window live-time normalization histogram schema object names and statistical-error propagation while parameterizing paths; the M0-M3 closure adds parent-directory creation without changing the calculation.
DP-S000	analysis/data_preprocessing/apps/build_source_spectra.cxx	7b13c5e0a1bf91cc310e20f3913590a6fb054a22fb5ff38a7f59d20a84ba1d82	command_line_entry	added	server_config_and_synthetic_test_passed	Accepts separate input output and report paths rejects existing outputs by default and exposes the frozen central configuration.
DP-S000	analysis/data_preprocessing/tests/test_source_background_spectra.cxx	ee73cadb585ab8e9630327b2c1b1a6aaadc5aeea674a44f061c86b12dbe66fe6	synthetic_root_validation	added	server_test_with_nested_output_passed	Checks strict time boundaries historical object schema normalization negative net bins propagated errors report fields invalid file ranges and automatic nested output-directory creation without experimental data.
DP-S100	analysis/data_preprocessing/include/gain_relation.h	0ca8770a2e9d1f904d61eb09045d23aef36692b0f93ad2110c2e85ba231d84fc	public_analysis_header	migrated	server_synthetic_test_passed	Defines the fixed central-0308 105-file 15-channel gain-relation contract fit summaries and portable entry.
DP-S100	analysis/data_preprocessing/src/gain_relation.cxx	347e76caea8374b90bae3150d366fdfe676673493fbc1bf24365ff9649534287	analysis_implementation	migrated	server_synthetic_test_with_nested_output_passed	Retains the fixed 15-channel strict low-gain selection ROOT TGraph linear fit range slope limits historical canvas layout and f_data storage while parameterizing paths and recording fit diagnostics; the M0-M3 closure adds parent-directory creation without changing the fit.
DP-S100	analysis/data_preprocessing/apps/fit_gain_relation.cxx	59ad24925920a4fe3ba4d5a3f1fbe477db48cc24b6503435a9dc202b4adef476	command_line_entry	added	server_config_install_and_synthetic_test_passed	Accepts distinct input and output paths rejects existing outputs by default exposes the frozen central definition and provides optional canvas exports.
DP-S100	analysis/data_preprocessing/tests/test_gain_relation.cxx	b48e6d26b285fac1e0f65097c31f6bbd8be7632629ae4f447f357ef9ae78c334	synthetic_root_validation	added	server_test_with_nested_output_passed	Checks all 15 channels strict selection boundaries fit-range membership ROOT fit status embedded two-dimensional relation and fit historical canvas layout f_data streaming parameter text report fields overwrite rejection and automatic nested output-directory creation without experimental data.
DP-S200;DP-S201	analysis/data_preprocessing/include/energy_calibration.h	cdc208c485fcf104435ca4de616c851f95dc8c707c265616728224cc7b006055	public_analysis_header	migrated	server_root_synthetic_test_passed	Defines the fixed central-0308 source-peak windows three reference energies historical object names canvas layout summaries and portable M4 entry.
