source_id	migration_batch	thesis_scope	historical_path	sha256	hash_scope	physical_role	planned_target	migration_action	m0_status	dependency_note
DP-S000	M2	3.3.1	step0-nobkg/20240308-ThnatCo60-ALLOR_NoBkg.C	668669c98bf51b0bd44a884792b56aecce4a2099ae05991c185af732e3503d25	snapshot_exact	0308 source/background live-time normalization and 15 background-subtracted high-gain spectra	analysis/data_preprocessing/include/source_background_spectra.h;analysis/data_preprocessing/src/source_background_spectra.cxx;analysis/data_preprocessing/apps/build_source_spectra.cxx	migrate_with_config	frozen	Reads 21 source and 24 background files; preserves h_src_XE, h_bkg_XE, and h_nobkg_XE object names.
DP-S100	M3	3.3.1	step1-2D/20240308_SnSn_GOAL_ALLCOIN.C	c3679d73b5aed4a21131e35829f5b176a683a40689a3677c93519a6fb5ce30dc	snapshot_exact	0308 low-/high-gain relation and f_data production	analysis/data_preprocessing/include/gain_relation.h;analysis/data_preprocessing/src/gain_relation.cxx;analysis/data_preprocessing/apps/fit_gain_relation.cxx	migrate_with_config	frozen	Reads 105 raw files; depends on t_2d_fit and the ROOT load setup.
DP-S101	M3	3.3.1	step1-2D/20240308_SnSn_GOAL_ALLCOIN.h	ee57aba471fd7192f0790deabf305ea0542878d1237003c5ea919e69d69873c5	snapshot_exact	Generated text copy of the 15 fitted gain-relation parameters	analysis/data_preprocessing/provenance/reference_outputs/0308_gain_parameters.txt	preserve_as_generated_reference	frozen	Generated by DP-S100; not an independent implementation.
DP-S102	M1	3.3.1	step1-2D/rootlogon.C	9b88887d62e17b2c8a1bc1a50f819815d9b59117e0a8236aada3e25e5e90a652	snapshot_exact	Loads the historical t_gamma_cali shared library before the gain fit	analysis/data_preprocessing/CMakeLists.txt	replace_with_declared_build_dependency	frozen	The original ROOT startup code remains in the snapshot.
DP-S103	deferred	3.3.1-adjacent	step1-2D/DrawCsI05.C	e0ed47dca9baaa81c76fea6e0652c80608ba5605a1aa41e4b97c783f0f396f67	snapshot_exact	Auxiliary ROOT drawing of a manually exported CsI05 gain-correlation tree	-	reference_only	frozen	Reads CsI05_points.root, but the production block creating that file is commented out in DP-S100.
DP-S200	M4	3.3.1	step2-fit/20240308_ThnatCo60_NoBkg.C	556e53b2fc47b0006f83de14527ccb5710e1e606c9a1960b0033803f6510671c	snapshot_exact	Fits Co-60 and Th-nat peaks and writes cali_20240308	analysis/data_preprocessing/src/energy_calibration.cxx	migrate_with_config	frozen	Depends on DP-S000 output, DP-S100 f_data, t_gamma_cali, and the gaus2 model in DP-S201.
DP-S201	M4	3.3.1	step2-fit/rootlogon.C	0acc47cae6632b4d8935ee172b8aeb33e6b64126a3b7053553b3bbd2d2622a32	snapshot_exact	Defines the two-Gaussian-plus-quadratic Co-60 fit model and loads t_gamma_cali	analysis/data_preprocessing/src/energy_calibration.cxx	migrate_physics_model	frozen	Fit limits are part of the historical analysis definition and must not be replaced by plotting defaults.
DP-S202	deferred	3.3.1-adjacent	step2-fit/read_gamma_cali_results.C	35d8f3f590762aa31343399743e9ac4d268d2755e53c2e3a52ff817e8845a141	snapshot_exact	Manual comparison plot using embedded 0303, 0305, and 0308 calibration arrays	-	reference_only_noncentral	frozen	Cross-date display is outside the current central-only migration and will be revisited with systematics or appendix-table export.
DP-S300	M1	3.3.1	t_gamma_cali/Makefile	53488b73888651992e9f52b591e3b2933a7c6465133fbfa05367a8be711f386f	snapshot_exact	Historical build of t_2d_fit, t_gamma_cali, jiugong_recon, and ROOT dictionary	analysis/data_preprocessing/CMakeLists.txt	replace_with_scoped_build	frozen	Current build couples calibration classes to shower reconstruction; the portable M1 target will initially exclude jiugong_recon.
DP-S301	M1	3.3.1	t_gamma_cali/t_2d_fit.h	3b878527d7e0bfbf54fc132864e1e95c2757c3553d255fda9aa50c74af8f56a6	snapshot_exact	ROOT-streamable container and conversion for 15 gain-relation fits	analysis/data_preprocessing/include/t_2d_fit.hpp	migrate	frozen	Class version 2 must remain readable from historical ROOT objects.
